Class		Comments	BComments	NumOfLines	WhileCount	ForCount	IfCondCount	BracketCount	AllSpaces	CSS	Assignment	AssignOpp	Equality	EqualityOpp	OpenParenL	OpenParenR	OpenParenOpp	CloseParenL	CloseParenR	CloseParenOpp
Person1		1		1		89		0		9		6		9		0		31		21		26		13		48		0		0		19		0		15		19
Person1		0		1		78		2		4		8		9		0		23		17		22		6		38		3		1		18		1		16		18
Person1		1		1		164		0		12		18		22		0		80		62		70		19		70		5		0		54		5		43		54
Person1		1		1		85		0		7		5		11		0		46		37		38		6		46		5		2		18		3		15		18
Person1		0		1		113		0		8		7		5		0		51		25		32		8		18		8		0		26		0		18		26
Person1		1		2		291		0		30		8		31		0		118		123		132		36		176		1		0		44		1		39		44

Person2		53		0		343		0		9		5		0		0		38		144		144		41		132		2		0		13		0		6		13
Person2		81		0		350		1		11		4		0		0		62		94		102		37		170		5		2		20		1		7		20
Person2		72		0		465		2		13		22		0		0		52		159		214		152		386		4		0		40		0		10		40
Person2		52		0		362		0		6		6		0		0		36		77		106		41		140		4		0		16		0		5		16
Person2		62		0		335		1		9		8		0		0		41		98		112		29		106		3		0		23		0		2		23

Person4		16		15		345		0		8		6		0		0		102		70		70		588		1148		13		0		15		0		14		15
Person4		61		50		734		0		8		11		0		0		140		158		158		1966		4064		19		0		29		0		22		29
Person4		117		53		1051		1		14		32		0		0		314		300		300		2020		4168		47		0		71		0		63		71
Person4		94		34		874		7		25		17		0		0		306		357		358		1428		2812		46		3		58		0		51		58
Person4		16		22		313		0		0		4		0		0		26		44		44		906		1816		7		0		15		0		9		15

Person5		10		1		132		0		0		1		9		0		0		0		38		8		40		0		0		2		0		1		2
Person5		7		1		110		0		7		2		17		0		7		0		28		3		16		0		0		9		0		9		9
Person5		8		1		68		2		0		1		1		0		0		2		26		3		24		0		0		4		0		2		4
Person5		10		1		73		2		0		1		2		0		0		2		24		3		28		0		0		4		0		2		4
Person5		8		2		164		0		7		4		22		0		6		0		66		6		46		0		0		11		0		11		11
Person5		4		1		135		4		0		8		16		0		0		0		34		17		30		0		0		24		0		12		24
Person5		10		1		100		0		0		1		6		0		0		0		36		3		78		0		0		1		0		1		1

Person7		40		4		419		5		5		26		55		0		61		68		76		36		132		12		0		63		0		36		63
Person7		4		11		309		0		4		13		56		0		35		42		42		69		154		11		0		39		0		20		39
Person7		22		7		836		0		10		17		96		0		98		184		190		119		326		6		0		35		0		29		35
Person7		12		4		175		1		0		12		32		0		14		22		22		35		78		8		0		25		0		13		25
Person7		33		8		230		0		1		6		17		0		15		22		22		23		44		4		0		13		0		9		13

Person8		0		30		307		1		3		14		0		0		64		60		60		133		206		18		0		19		0		17		19
Person8		1		8		130		0		3		6		0		0		43		30		30		50		86		9		0		16		0		9		16
Person8		3		71		950		11		6		63		0		0		381		254		258		417		754		82		0		203		0		113		203
Person8		6		42		412		1		10		6		0		0		136		92		92		313		568		17		0		30		0		21		30
Person8		0		13		144		0		5		2		0		0		45		28		28		77		144		7		0		9		0		7		9
Person8		0		31		345		0		4		10		0		0		66		86		94		210		326		14		0		27		0		19		27
Person8		0		26		264		2		7		3		0		0		60		62		62		115		222		12		0		16		0		12		16

Person9		0		5		299		2		0		14		0		0		50		64		64		80		282		16		0		29		0		22		29
Person9		0		18		595		6		10		19		0		0		198		78		78		155		240		36		0		63		0		49		63
Person9		1		0		165		2		3		2		0		0		38		68		68		33		48		7		0		9		0		7		9
Person9		2		1		251		0		10		16		0		0		123		42		44		82		120		26		0		49		0		27		49
Person9		0		0		138		3		5		0		0		0		45		40		40		25		66		8		0		10		0		8		10

Person10		8		3		69		0		0		0		6		0		0		18		18		33		58		0		0		0		0		0		0
Person10		11		5		136		0		0		0		20		0		0		34		36		47		68		0		0		0		0		0		0
Person10		8		20		179		0		0		0		20		0		0		44		44		139		200		0		0		0		0		0		0
Person10		12		17		200		0		0		7		17		0		27		80		80		102		140		7		0		7		0		7		7
Person10		6		21		160		2		0		5		18		0		19		64		64		93		126		7		0		8		0		8		8
Person10		0		24		106		2		8		0		18		0		70		14		14		30		42		10		0		10		0		10		10
Person10		32		25		297		2		6		9		40		0		48		74		74		76		132		8		1		25		0		17		25

Person11		18		4		247		7		0		7		0		0		6		20		118		78		152		1		0		23		0		3		23
Person11		34		10		330		8		9		13		0		0		86		77		122		196		400		1		1		42		1		0		42
Person11		15		0		97		5		3		3		0		0		33		42		50		2		46		4		0		16		0		2		16
Person11		10		5		159		6		2		5		0		0		13		45		60		119		232		0		0		19		0		0		19
